event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
AFG68685,2024-12-05,2024,1,Demonstrations,Protests,Protest with intervention,Protesters (Afghanistan),Health Workers (Afghanistan); Students (Afghanistan); Women (Afghanistan),Protesters,Military Forces of Afghanistan (2021-),,State forces,State forces-Protesters,,4,Caucasus and Central Asia,Afghanistan,Herat,Herat,,Herat,34.3482,62.1997,1,Etilaat e Roz; Hasht-e Subh; Rukhshana Media,National,"On 5 December 2024, a number of female students held a protest in Herat city to denounce Taliban's decision to close all public and private medical institutes for female medical education (coded separately). Taliban confiscated the protest banners.",0,crowd size=a number,1733860785
AFG68684,2024-12-03,2024,2,Demonstrations,Protests,Protest with intervention,Protesters (Afghanistan),Health Workers (Afghanistan); Students (Afghanistan); Women (Afghanistan),Protesters,Police Forces of Afghanistan (2021-) General Directorate of Intelligence,,State forces,State forces-Protesters,,4,Caucasus and Central Asia,Afghanistan,Takhar,Taluqan,,Taluqan,36.7341,69.5336,3,Rukhshana Media; Undisclosed Source,Local partner-Other,"Around 3 December 2024 (as reported), a number of female students from medical institutes protested in Takhar province (coded to Taluqan) against the Taliban's order to cease female education in all public and private medical institutes (coded separately). At least two female students were arrested by Taliban intelligence, with reports that several others were arrested.",0,crowd size=no report,1738102140
AFG68683,2024-12-02,2024,1,Strategic developments,Strategic developments,Other,Government of Afghanistan (2021-),,State forces,Civilians (Afghanistan),Health Workers (Afghanistan); Students (Afghanistan); Women (Afghanistan),Civilians,State forces-Civilians,,4,Caucasus and Central Asia,Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,3,Hasht-e Subh; Khaama Press; RFE/RL; Rukhshana Media,National-International,"Other: On 2 December 2024, the Taliban Ministry of Public Health, under the directive of the Taliban's supreme leader ordered the closure of all public and private medical institutes for female medical education (coded to Kabul) until further notice. This order barred all institutions from enrolling or teaching female students in midwifery, dentistry, nursing, and laboratory sciences. The Taliban have already banned girls from attending school and university for more than three years. At least 35,000 female students, enrolled in 10 government institutes and over 150 private ones, have been deprived of their education due to the ban.",0,,1734463320
AFG68611,2024-11-15,2024,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Afghanistan),,Political militia,Civilians (Afghanistan),Health Workers (Afghanistan),Civilians,Political militia-Civilians,Civilian targeting,4,Caucasus and Central Asia,Afghanistan,Takhar,Taluqan,,Taluqan,36.7341,69.5336,1,Hasht-e Subh,National,"On 15 November 2024, a doctor was killed by unknown gunmen in the Shor tapa Latehband village of Taluqan city, Takhar. Motive unknown.",1,,1732654480
AFG69411,2024-11-06,2024,2,Strategic developments,Strategic developments,Other,Government of Afghanistan (2021-),,State forces,Civilians (Afghanistan),Health Workers (Afghanistan); Women (Afghanistan),Civilians,State forces-Civilians,,4,Caucasus and Central Asia,Afghanistan,Kandahar,Kandahar,,Kandahar,31.6133,65.7101,1,Undisclosed Source,Local partner-Other,"Other: Around 6 November 2024 (as reported), Taliban Vice and Virtue members warned female healthcare workers in Kandahar city not to work without a male guardian present. They visited health centers across the city to enforce this policy, requiring women to carry ID cards displaying both their own and their male guardian's details. Female workers opposed the restrictions, citing family constraints.",0,,1739304990
AFG69360,2024-10-13,2024,1,Strategic developments,Strategic developments,Other,Government of Afghanistan (2021-),,State forces,Civilians (Afghanistan),Health Workers (Afghanistan); Women (Afghanistan),Civilians,State forces-Civilians,,4,Caucasus and Central Asia,Afghanistan,Takhar,Dashti Qala,,Dashti Qala,37.2216,69.4975,2,Undisclosed Source,Local partner-Other,"Other: On 13 October 2024, Taliban closed two women health centers and expelled all the female employees based on the orders of the Taliban district chief in Dashti Qala district, Takhar.",0,,1738102144
AFG68457,2024-10-11,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Afghanistan (2021-),,State forces,Civilians (Afghanistan),Health Workers (Afghanistan),Civilians,State forces-Civilians,Civilian targeting,4,Caucasus and Central Asia,Afghanistan,Herat,Shindand,,Shindand,33.3029,62.1474,2,Etilaat e Roz; Hasht-e Subh,National,"On 11 October 2024, Taliban forces entered a health center at night and beat and insulted a doctor in Shindand (Zirkoh) district, Herat, after he criticized the parking of their military vehicle in the emergency area. The Taliban warned other employees that they would be shot if they opposed. Following the incident, the health center's staff went on strike for the mistreatment of their doctors and that they had not received their salaries for three months. However, the Taliban ended the strike without addressing their demands.",0,,1729632971
AFG69345,2024-09-25,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Afghanistan (2021-),,State forces,Civilians (Afghanistan),Health Workers (Afghanistan),Civilians,State forces-Civilians,Civilian targeting,4,Caucasus and Central Asia,Afghanistan,Badakhshan,Shuhada,,Shuhada,37.1043,71.1638,2,Afghanistan International; Undisclosed Source,Local partner-Other,"On 25 September 2024, Taliban Shuhada district chief assaulted doctors and closed the obstetrics and gynecology departments at the district hospital in Shuhada district, Badakhshan.",0,,1738102144
AFG69349,2024-09-16,2024,1,Strategic developments,Strategic developments,Other,Military Forces of Afghanistan (2021-),,State forces,Civilians (Afghanistan),Health Workers (Afghanistan); Women (Afghanistan),Civilians,State forces-Civilians,,4,Caucasus and Central Asia,Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,Undisclosed Source,Local partner-Other,"Other: On 16 September 2024, Taliban prevented approximately 250 female vaccinators from participating in a house-to-house polio vaccination campaign in Kabul city due to strict conditions such as asking the women to be accompanied by a male guardian and to wear full Islamic dress.",0,,1738102144
AFG69330,2024-08-07,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Afghanistan (2021-),,State forces,Civilians (Afghanistan),Health Workers (Afghanistan),Civilians,State forces-Civilians,Civilian targeting,4,Caucasus and Central Asia,Afghanistan,Badakhshan,Faiz Abad,,Faiz Abad,37.1166,70.58,1,Undisclosed Source,Local partner-Other,"On 7 August 2024, a doctor and a guard were wounded during an attack involved physical assault and gunfire by Taliban governor's forces on Ustad Burhanuddin Rabbani Hospital in Faiz Abad city, Badakhshan. Motive unknown. No further information.",0,,1738102144
